type,L1,L2,L3,L4,manufacturer_group,tax_type
その他,修理（スポーツ）,ロードデュアルコントロールレバー交換（左右セット）（ブレーキ、変速調整は基本工賃に含まれます。）,機械式ブレーキレバー,,,
その他,修理（スポーツ）,ロードデュアルコントロールレバー交換（左右セット）（ブレーキ、変速調整は基本工賃に含まれます。）,油圧式ディスクブレーキ,,,
その他,修理（スポーツ）,ヘッドパーツ,増し締め、ガタ調整,,,
その他,修理（スポーツ）,ヘッドパーツ,交換,,,
その他,修理（スポーツ）,ヘッドパーツ,オーバーホール,,,
その他,修理（スポーツ）,ヘッドパーツ,下玉押し外し＋圧入のみ,,,
その他,修理（スポーツ）,ヘッドパーツ,ヘッドパーツ圧入のみ,,,
その他,修理（スポーツ）,フロントフォーク,フォーク交換,,,
その他,修理（スポーツ）,フロントフォーク,スターファングルナット圧入のみ,,,
その他,修理（スポーツ）,フロントフォーク,コラムカットのみ,,,
その他,修理（スポーツ）,フロントフォーク,コラムカット（ポジション調整含む）,,,
その他,修理（スポーツ）,フレームからの組立,MTB、クロスバイク,,,
その他,修理（スポーツ）,フレームからの組立,ロードバイク,,,
その他,修理（スポーツ）,フレームへのばらし,分解,,,
その他,修理（スポーツ）,キャリア,キャリア取付,,,
その他,修理（スポーツ）,キャリア,シートポストキャリア取付,,,
その他,修理（スポーツ）,MTBカゴ取付,,,,
その他,修理（スポーツ）,ハンドルバッグ取付（アタッチメント式）,,,,
その他,修理（スポーツ）,スタンド,サイドスタンド取付,,,
その他,修理（スポーツ）,スタンド,センタースタンド取付,,,
その他,修理（スポーツ）,スタンド,センタースタンド取付（カットする場合）,,,
その他,修理（スポーツ）,泥除け,フルカバータイプ前後取付,,,
その他,修理（スポーツ）,泥除け,ショートカバータイプ前後取付,,,
その他,修理（スポーツ）,ライト,電池式ライト取付,,,
その他,修理（スポーツ）,ライト,リムドライブライト取付,,,
