type,L1,L2,L3,L4,manufacturer_group,tax_type
車両,その他車両,アパレル,,,other,
車両,その他車両,発電機,,,other,
車両,その他車両,ATV,,,other,
車両,その他車両,オフロード四輪,,,other,
車両,その他車両,その他,,,other,
その他,自転車部用品,コンポーネント,,,bicycle_parts,
その他,自転車部用品,ホイール,,,bicycle_parts,
その他,自転車部用品,ライト,,,bicycle_parts,
その他,自転車部用品,テールライト,,,bicycle_parts,
その他,自転車部用品,ロック,,,bicycle_parts,
その他,自転車部用品,ポンプ,,,bicycle_parts,
その他,自転車部用品,リペアパーツ,,,bicycle_parts,
その他,自転車部用品,タイヤ,,,bicycle_parts,
その他,自転車部用品,チューブ,,,bicycle_parts,
その他,自転車部用品,サドル周り,,,bicycle_parts,
その他,自転車部用品,ハンドル周り,,,bicycle_parts,
その他,自転車部用品,ペダル,,,bicycle_parts,
その他,自転車部用品,フェンダー,,,bicycle_parts,
その他,自転車部用品,スタンド,,,bicycle_parts,
その他,自転車部用品,ボトル,,,bicycle_parts,
その他,自転車部用品,ボトルケージ,,,bicycle_parts,
その他,自転車部用品,サイクルコンピューター,,,bicycle_parts,
その他,自転車部用品,ケミカル,,,bicycle_parts,
その他,自転車部用品,フリーパワー,,,bicycle_parts,
その他,自転車部用品,トレーナー機器,,,bicycle_parts,
その他,自転車部用品,サイクルウェア,,,bicycle_parts,
その他,自転車部用品,ヘルメット,,,bicycle_parts,
その他,自転車部用品,シューズ,,,bicycle_parts,
その他,自転車部用品,アイウェア,,,bicycle_parts,
その他,自転車部用品,バッグ,,,bicycle_parts,
その他,自転車部用品,マッサージオイル,,,bicycle_parts,
その他,自転車部用品,補給食,,,bicycle_parts,
その他,自転車部用品,チャイルドシート,,,bicycle_parts,
その他,自転車部用品,Fバスケット,,,bicycle_parts,
その他,自転車部用品,Rバスケット,,,bicycle_parts,
その他,自転車部用品,車体カバー,,,bicycle_parts,
その他,自転車部用品,輪行バック,,,bicycle_parts,
その他,自転車部用品,サドルカバー,,,bicycle_parts,
その他,自転車部用品,ベル,,,bicycle_parts,
その他,自転車部用品,レインウェア,,,bicycle_parts,
その他,自転車部用品,その他,,,bicycle_parts,
その他,自転車_点検,点検,初回点検（納車後1ヶ月）,,,
その他,自転車_点検,点検,シティーサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,点検,電動アシスト自転車（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,点検,スポーツサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,点検,シティーサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,点検,電動アシスト自転車（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,点検,スポーツサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,点検,メンテナンスパック更新加入,,,
その他,自転車_点検,点検,メンテナンスパック途中加入,,,
その他,自転車_点検,点検,その他,,,
その他,自転車_点検,メンテナンスパック,初回点検（納車後1ヶ月）,,,
その他,自転車_点検,メンテナンスパック,シティーサイクル（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック,電動アシスト自転車（6ヶ月点検12ヶ月点検）,,,
その他,自転車_点検,メンテナンスパック,スポーツサイクル（6ヶ月点検12ヶ月点検）,,,
